Team,HST_mean_h,conv_mean_h,HST_allowed_mean_h,conv_allowed_mean_h,AST_mean_a,conv_mean_a,AST_allowed_mean_a,conv_allowed_mean_a,HC_mean_h,AC_mean_a
Dijon,3.0,0.25,4.2,0.4666666666666666,3.8,0.42666666666666664,4.8,0.21857142857142858,3.2,4.2
Nimes,4.4,0.26904761904761904,4.2,0.3771428571428571,4.4,0.42000000000000004,3.6,0.35666666666666663,4.6,4.0
Bordeaux,5.6,0.14285714285714282,2.2,0.5666666666666667,4.2,0.275,3.4,0.4,5.8,2.8
Ajaccio,1.4,0.0,4.4,0.3666666666666666,4.0,0.2704761904761904,3.8,0.4,3.6,5.0
Troyes,4.0,0.21333333333333332,7.2,0.3387179487179487,5.0,0.11333333333333333,3.6,0.13999999999999999,4.6,5.8
Clermont,3.8,0.4333333333333334,6.0,0.3509090909090909,7.0,0.3742857142857143,4.4,0.36666666666666664,6.0,5.8
Montpellier,4.0,0.05,5.6,0.3888888888888889,7.2,0.3738888888888889,3.2,0.45714285714285713,5.4,3.6
Reims,4.4,0.22000000000000003,6.0,0.18611111111111112,4.0,0.2666666666666666,7.2,0.2257142857142857,2.2,5.2
St Etienne,3.2,0.5,6.6,0.4866666666666667,6.4,0.22344322344322345,2.6,0.3666666666666666,5.4,5.4
Monaco,4.8,0.2733333333333333,4.0,0.4666666666666667,6.0,0.2733333333333333,2.2,0.4,4.0,5.6
Brest,4.4,0.219047619047619,3.4,0.2583333333333333,4.2,0.4611111111111111,5.4,0.45055555555555554,6.8,4.8
Lille,6.4,0.2966666666666667,3.0,0.32333333333333336,6.8,0.3686868686868687,3.6,0.24190476190476193,6.2,5.0
Nantes,3.4,0.35333333333333333,5.2,0.48158730158730156,5.2,0.2333333333333333,4.4,0.23047619047619045,3.8,4.6
Toulouse,5.2,0.27142857142857146,2.8,0.31333333333333335,3.2,0.419047619047619,5.8,0.43999999999999995,6.4,2.2
Paris SG,8.4,0.2628787878787879,3.8,0.08571428571428566,3.4,0.48,3.8,0.3333333333333333,6.0,5.6
Nice,5.6,0.32690476190476186,5.6,0.21471861471861473,2.4,0.16666666666666666,6.6,0.24000000000000005,4.6,3.4
Le Havre,3.6,0.35,2.6,0.3833333333333333,2.8,0.5,5.4,0.2783333333333333,5.6,3.0
Lorient,5.2,0.44642857142857134,3.6,0.45833333333333337,4.4,0.29047619047619044,3.6,0.2666666666666666,3.2,7.0
Angers,3.8,0.2866666666666667,4.4,0.25,1.8,0.3666666666666666,5.4,0.2488095238095238,5.4,2.4
Paris FC,2.8,0.4333333333333333,3.2,0.4,3.0,0.3,3.2,0.42000000000000004,5.0,3.8
Rennes,6.2,0.3079365079365079,2.8,0.4,3.0,0.36666666666666664,5.0,0.27142857142857146,6.2,1.8
Metz,3.0,0.19047619047619052,3.8,0.21666666666666665,5.8,0.2733333333333333,2.8,0.33999999999999997,4.4,5.8
Lyon,4.2,0.44833333333333336,2.8,0.3333333333333333,3.2,0.1833333333333333,5.4,0.16363636363636364,6.2,3.6
Auxerre,4.2,0.18571428571428572,4.0,0.31666666666666665,3.6,0.18,4.4,0.3333333333333333,6.0,7.6
Lens,5.0,0.4533333333333334,2.6,0.13333333333333333,2.6,0.41666666666666663,6.0,0.33928571428571425,5.8,4.2
Strasbourg,6.0,0.45,3.8,0.1444444444444444,3.0,0.18333333333333338,3.0,0.5666666666666667,3.4,4.0
Marseille,6.2,0.4414718614718615,4.0,0.3,4.0,0.32777777777777783,5.8,0.40055555555555555,4.6,3.8
